Sample_Num,PPG_Sensor1_Raw,PPG_Sensor2_Raw
455,3590324238,3204481083
456,754974736,3187671162
457,2063597586,3187671156
458,3372220435,1006633168
459,1509949458,3137339514
460,2583691281,3170894074
461,3338666000,1023410298
462,2617245712,3187671216
463,1342177296,3137355904
464,268435473,3204464796
465,385875985,3187703867
466,1291845649,3187671156
467,2902458387,1006633024
468,822083603,3137339514
469,1560281107,3187671162
470,1560281106,1040220219
471,3053453330,3187671216
472,2801795090,3137374336
473,3841982484,3204448506
474,2231369750,3170910364
475,3288334362,3187671132
476,1476395036,1006633152
477,2332033051,3137339514
478,3238002714,3170894074
479,1795162132,1023443003
480,1023410193,3187671216
481,2264924174,3137382528
482,2835349520,3204481083
483,1409286161,3187703867
484,17,3187671128
485,2768240659,1006633120
486,3741319188,3137339642
487,2499805208,3170893946
488,218103843,1023410426
489,4110417962,3170894032
490,3103785007,3137343616
491,973078585,3204448378
492,3758096444,3170893946
493,1610612802,3187671168
494,1107296329,1006633144
495,2130706539,3137339642
496,2818572396,3170894074
497,83886181,3170893920
498,1090519162,1006633120
499,520093825,3137339642
500,1979711623,3170926651
501,436207777,1040187392
502,3388997809,176
503,2315256020,3137372288
504,452985263,3204448506
505,251658906,3170893946
506,2550137618,3170893936
507,2583691866,1006633184
508,587203200,3137339642
509,117441206,3170894074
510,2466251448,1023410298
511,2936013542,3187671200
512,2046821087,3137355904
513,2197816035,3204481083
514,3489661675,3187687580
515,1778385655,3187671168
516,4160750379,1006633144
517,1795162890,3137339392
518,117441281,250
519,2348811027,3170893944
520,1056965383,1006633136
521,1073742603,3137339514
522,1694499603,3170894074
523,1795162893,1023410298
524,654312206,3187671232
525,1073742614,3137368192
526,2399142675,3204481083
527,2449474319,3187703867
528,654312189,3187671164
529,2348810997,1006633072
530,3187671794,3137339392
531,1577059046,122
532,1426064090,3170894074
533,2650800863,3170894016
534,2550137668,3137366144
535,1560282060,3204448256
536,1862270999,16540
537,2684354815,3187671156
538,2264924425,1006633152
539,872415521,3137339392
540,3187671315,32827
541,3238002967,1040187514
542,2298478876,3170893960
543,16777521,3137372288
544,2013266242,3204481083
545,3976200526,3187703867
546,1627390273,3187671120
547,2080375095,1006633184
548,369099057,3137339642
549,1291845927,3170893946
550,2801795362,1023410426
551,2600468780,3170893856
552,1778385208,3137374336
553,905969975,3204448378
554,2717909299,3170893936
555,2483028277,1006633056
556,1761607998,3137339642
557,4194304325,1023443003
558,1409286452,3187671144
559,3892314414,1006645376
560,1811939642,3204448506
561,3036676421,3170926651
562,3590324548,1040187464
563,1912602950,1006633096
564,3556770126,3137368192
565,838861135,3204481083
566,704643412,1040220219
567,771752289,3187671160
568,503316827,1006633082
569,4227858781,1023410298
570,167772509,3170893940
571,3338666332,1006669952
572,3774873947,3204481083
573,4093641054,3187671290
574,4060086625,1023410260
575,2936013170,1006633112
576,2768241021,3137378432
577,1644167547,3204448506
578,1426063744,1023410298
579,3003122049,3187671140
580,822083975,1006633210
581,520094090,3170926651
582,2499805575,1040187642
583,822083980,3170893960
584,2818572682,3137372219
585,3355443605,3187703867
586,33554848,1040187642
587,2332033447,3170894000
588,3422552496,3137357952
589,973078964,3204448378
590,2818572724,3170893968
591,2046820789,3137357952
592,1509949877,3204448378
593,1711276474,3187687580
594,2315256246,3187671140
595,3875537336,1006633152
596,2348810683,3137339642
597,3355443641,3170894074
598,2516582844,1040187642
599,117440955,3170894032
600,2516582842,3137372288
601,3489661370,3204448506
602,4211081659,3170926651
603,2516582845,3187671120
604,3959423421,1006633152
605,1325400508,3137372219
606,2852127167,1040187514
607,1493172668,3187671156
608,1023410620,1006657664
609,687866300,3204448378
610,385876412,1040220219
611,3992977848,3187671144
612,201327033,1006682240
613,318767543,3204448378
614,3640656309,3170893946
615,4194304438,1040187504
616,889192887,1006633152
617,3422552503,3137370240
618,3573547448,3204464796
619,2097152441,1040220219
620,1811939767,3187671124
621,3607101882,1006657664
622,2785018297,3204448256
623,3036676534,32827
624,4261413303,1040187464
625,1090519482,1006633184
626,771752378,3137366144
627,1073742264,3204481083
628,3019899322,1040187642
629,2248147385,3170893920
630,2868904377,1006633210
631,905970103,1023410298
632,3657433527,3187671116
633,1107296693,1006659712
634,1577058741,3204448378
635,2214592947,3170893946
636,671089077,1023410304
637,3724542387,1006633120
638,1627390387,3137382528
639,33554866,3204448506
640,50332083,1023443003
641,385876401,3187671148
642,3523215794,1006682330
643,436208053,1040220219
644,1191182768,3187671132
645,67109300,1006669952
646,671089074,3204464796
647,1073742258,1040220219
648,335544754,3187671148
649,117440947,1006661760
650,1442841010,3204481083
651,1308623279,3187671290
652,2986344883,1023410272
653,3875537329,1006633184
654,2667577779,3137376384
655,637534644,3204481083
656,1325400498,1040187500
657,1358954933,1006633008
658,3539993011,3137370240
659,2332033457,3204448372
660,3120562611,1006633136
661,855638448,3137368192
662,335544752,3204497626
663,2801795508,1040187642
664,637534643,3170893928
665,3774874033,1006655616
666,2298479024,3204448506
667,1174405555,3170926779
668,788529588,1040212096
669,3170894258,3204481083
670,1795162547,3187720410
671,587202996,1040187568
672,1224737203,1006632996
673,3472884148,3154133120
674,452985266,3204448378
675,4110418354,3170935989
676,1459618227,1073741952
677,1459618227,973095040
678,2768241075,3204448378
679,2181038513,3170914499
680,2952790449,1073741958
681,520094130,1006633144
682,2516582835,3137382528
683,1526727089,3204472938
684,2181038513,3204448378
685,2835349938,3187671182
686,788529586,1006661760
687,434,3204448378
688,3992977841,3170926779
689,2868904368,1056993408
690,3707765168,3204448378
691,2969567667,3170910364
692,2483028402,3187671184
